Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
"Liar, Temptress, Soldier, Spy",Karen Abbott,2014-09-02,History,"Karen Abbott, the New York Times bestselling author of Sin in the Second City and “pioneer of sizzle history” (USA Today), tells the spellbinding true story of four women who risked everything to become spies during the Civil War. Karen Abbott illuminates one of the most fascinating yet little known aspects of the Civil War: the stories of four courageous women—a socialite, a farmgirl, an abolitionist, and a widow—who were spies. After shooting a Union soldier in her front hall with a pocket pistol, Belle Boyd became a courier and spy for the Confederate army, using her charms to seduce men on both sides. Emma Edmonds cut off her hair and assumed the identity of a man to enlist as a Union private, witnessing the bloodiest battles of the Civil War. The beautiful widow, Rose O’Neale Greenhow, engaged in affairs with powerful Northern politicians to gather intelligence for the Confederacy, and used her young daughter to send information to Southern generals. Elizabeth Van Lew, a wealthy Richmond abolitionist, hid behind her proper Southern manners as she orchestrated a far-reaching espionage ring, right under the noses of suspicious rebel detectives. Using a wealth of primary source material and interviews with the spies’ descendants, Abbott seamlessly weaves the adventures of these four heroines throughout the tumultuous years of the war. With a cast of real-life characters including Walt Whitman, Nathaniel Hawthorne, General Stonewall Jackson, detective Allan Pinkerton, Abraham and Mary Todd Lincoln, and Emperor Napoleon III, Liar, Temptress, Soldier, Spy draws you into the war as these daring women lived it. Liar, Temptress, Soldier, Spy contains 39 black & photos and 3 maps.",9780062092915,NOT_MATURE
"Liar, Temptress, Soldier, Spy",Karen Abbott,2014,HISTORY,The never-before-told story of four real-life women who risked everything to take on a life of espionage during the Civil War.,9780062353825,NOT_MATURE
Ace of Spades,Faridah Àbíké-Íyímídé,2021-06-01,Young Adult Fiction,"Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully. All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. —Aces When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too. Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures. As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly? With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé.",9781250800824,NOT_MATURE
Ace of Spades Sneak Peek,Faridah Àbíké-Íyímídé,2021-03-05,Young Adult Fiction,"Download a FREE sneak peek of Ace of Spades by Faridah Àbíké-Íyímídé. Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully. All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. —Aces When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too. Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures. As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly? With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé.",9781250832115,NOT_MATURE
Clap When You Land,Elizabeth Acevedo,2020-05-05,Young Adult Fiction,"In a novel-in-verse that brims with grief and love, National Book Award-winning and New York Times bestselling author Elizabeth Acevedo writes about the devastation of loss, the difficulty of forgiveness, and the bittersweet bonds that shape our lives. Camino Rios lives for the summers when her father visits her in the Dominican Republic. But this time, on the day when his plane is supposed to land, Camino arrives at the airport to see crowds of crying people… In New York City, Yahaira Rios is called to the principal’s office, where her mother is waiting to tell her that her father, her hero, has died in a plane crash. Separated by distance—and Papi’s secrets—the two girls are forced to face a new reality in which their father is dead and their lives are forever altered. And then, when it seems like they’ve lost everything of their father, they learn of each other. Great for summer reading or anytime! Clap When You Land is a Today show pick for “25 children’s books your kids and teens won’t be able to put down this summer!"" Plus don't miss Elizabeth Acevedo's The Poet X and With the Fire on High!",9780062882783,NOT_MATURE
The Poet X,Elizabeth Acevedo,2018-03-06,Young Adult Fiction,"Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award! Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost “Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8. Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!",9780062662828,NOT_MATURE
The Poet X,Elizabeth Acevedo,2023,Adolescence,"Novel-in-verse by an award-winning slam poet Elizabeth Acevedo, about Afro-Latina Xiomara Batista who turns to journalling poetry.",9780063324435,NOT_MATURE
Write Yourself a Lantern: A Journal Inspired by the Poet X,Elizabeth Acevedo,2020-04-07,Young Adult Nonfiction,"This journal is for the dreamers. The poets. The writers who don't yet know that they are writers, but know that they have plenty to say. Featuring lines from Elizabeth Acevedo's The Poet X among its lined pages, this full-color, beautifully designed journal is perfect for readers, long-time writers, those trying their hand at poetry, or anyone with a voice all their own. Let Xiomara's verses spark your own inspiration, as you pour your own thoughts and feelings onto the pages--and write the words you need most.",9780062982278,NOT_MATURE
Uncomfortable Conversations with a Black Boy,Emmanuel Acho,2021-05-04,Juvenile Nonfiction,"Adapted from Emmanuel Acho's New York Times bestseller Uncomfortable Conversations with a Black Man, comes an essential young readers edition aimed at opening a dialogue about systemic racism with our youngest generation. Young people have the power to affect sweeping change, and the key to mending the racial divide in America lies in giving them the tools to ask honest questions and take in the difficult answers. Approaching every awkward, taboo, and uncomfortable question with openness and patience, Emmanuel Acho connects his own experience with race and racism—from attending majority-white prep schools to his time in the NFL playing on majority-black football teams—to insightful lessons in black history and black culture. Uncomfortable Conversations with a Black Boy is just one way young readers can begin to short circuit racism within their own lives and communities.",9781250809209,NOT_MATURE
Call Me by Your Name,André Aciman,2008-01-22,Fiction,The sudden and powerful attraction between a teenage boy and a summer guest at his parents' house on the Italian Riviera has a profound and lasting influence that will mark them both for a lifetime.,9780312426781,MATURE
